article_id,symbol,company,date_publication,source,api_source,titre,contenu,score_sentiment,sentiment,confiance,poids,score_pondere,url,date_analyse,ajout_date
8eb8dc0c48f88a55,AAPL,Apple,2026-01-12 08:28,Pypi.org,newsapi,research-data-clients added to PyPI,"research-data-clients added to PyPI. Structured API clients for 17 external data sources. Provides consistent interfaces for retrieving data from academic, government, news, and web APIs.
Features
<ul><li>Unified Factory Pattern: Crea… [+7818 chars]",0.0,neutral,0.831,1.58,0.0,https://pypi.org/project/research-data-clients/,2026-01-13 10:52:54,2026-01-13
c095b3e669f2149a,AAPL,Apple,2026-01-12 17:51,The Economic Times,gnews,Why Alphabet (GOOGL) stock is up today: Google shares jump over 1% as Alphabet becomes the fourth company to cross the $4 trillion market cap mileston...,"Why Alphabet (GOOGL) stock is up today: Google shares jump over 1% as Alphabet becomes the fourth company to cross the $4 trillion market cap milestone. Synopsis
Alphabet (GOOGL) stock is up today: Alphabet Inc. (GOOGL) shares jumped over 1% on Monday, January 12, 2026, as the tech giant officially ...",0.847,positive,0.847,1.56,1.322,https://economictimes.indiatimes.com/news/international/us/why-alphabet-googl-stock-is-up-today-google-shares-jump-over-1-as-alphabet-becomes-the-fourth-company-to-cross-the-4-trillion-market-cap-milestone/articleshow/126489623.cms,2026-01-13 10:52:54,2026-01-13
2f6d9cb7905d735b,AAPL,Apple,2026-01-12 09:50,Pypi.org,newsapi,minicrit added to PyPI,"minicrit added to PyPI. Catch AI reasoning flaws before they become failures
Quick StartMCP IntegrationAPITrainingBenchmarks
The Problem
Autonomous AI systems fail silently. They produce confident-sounding outputs with h… [+9806 chars]",0.0,neutral,0.791,1.58,0.0,https://pypi.org/project/minicrit/,2026-01-13 10:52:54,2026-01-13
ce7c78e43f90f687,AAPL,Apple,2026-01-12 16:19,scanx.trade,gnews,Alphabet Crosses $4 Trillion Market Cap Milestone on AI Partnership Momentum,"Alphabet Crosses $4 Trillion Market Cap Milestone on AI Partnership Momentum. Alphabet Inc. achieved a historic milestone by crossing the $4 trillion market capitalization threshold, cementing its position as one of the most valuable companies globally and reinforcing investor confidence in its arti...",0.945,positive,0.945,1.56,1.474,https://scanx.trade/stock-market-news/global/alphabet-crosses-4-trillion-market-cap-milestone-on-ai-partnership-momentum/29780370,2026-01-13 10:52:54,2026-01-13
6d076c534760cec1,AAPL,Apple,2026-01-12 16:16,MarketScreener,gnews,"Alphabet crosses the $4 trillion valuation mark, driven by the AI boom","Alphabet crosses the $4 trillion valuation mark, driven by the AI boom. Alphabet reached a market capitalization of $4 trillion on Monday, becoming the world's fourth company to cross this threshold, alongside Nvidia, Microsoft and Apple. The stock rose by about 1% in early trading, notably buoyed b...",0.948,positive,0.948,1.56,1.479,https://www.marketscreener.com/news/alphabet-crosses-the-4-trillion-valuation-mark-driven-by-the-ai-boom-ce7e58dad189fe20,2026-01-13 10:52:55,2026-01-13
397fba4baafdd273,AAPL,Apple,2026-01-12 18:21,Benzinga,gnews,Apple Accelerates 5x Past The Smartphone Market - Samsung Gets Outrun,"Apple Accelerates 5x Past The Smartphone Market - Samsung Gets Outrun. Technology giant Apple Inc (NASDAQ:AAPL) saw its stock gain in 2025 with shares up 11.5%. That gain underperformed against several of the leading broad stock market indexes.
A new report on global smartphone market share could se...",0.947,positive,0.947,1.56,1.477,https://www.benzinga.com/trading-ideas/long-ideas/26/01/49854623/apple-accelerates-5x-past-the-smartphone-market-samsung-gets-outrun,2026-01-13 10:52:55,2026-01-13
6d076c534760cec1,MSFT,Microsoft,2026-01-12 16:16,MarketScreener,gnews,"Alphabet crosses the $4 trillion valuation mark, driven by the AI boom","Alphabet crosses the $4 trillion valuation mark, driven by the AI boom. Alphabet reached a market capitalization of $4 trillion on Monday, becoming the world's fourth company to cross this threshold, alongside Nvidia, Microsoft and Apple. The stock rose by about 1% in early trading, notably buoyed b...",0.948,positive,0.948,1.56,1.479,https://www.marketscreener.com/news/alphabet-crosses-the-4-trillion-valuation-mark-driven-by-the-ai-boom-ce7e58dad189fe20,2026-01-13 10:52:57,2026-01-13
73986f7b617ebece,TSLA,Tesla,2026-01-12 12:58,Investor's Business Daily,gnews,"Dow Falls On Powell Investigation; Nvidia, Tesla Slide (Live)| Investor's Business Daily","Dow Falls On Powell Investigation; Nvidia, Tesla Slide (Live)| Investor's Business Daily. Information in Investor’s Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell securities. The inform...",0.0,neutral,0.949,1.56,0.0,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-powell-nvidia-nvda-tesla-tsla/,2026-01-13 10:53:00,2026-01-13
6d68a89184570375,TSLA,Tesla,2026-01-11 16:03,MarketBeat,newsapi,This ETF Is Proof That the Healthcare Rebound Is Real,"This ETF Is Proof That the Healthcare Rebound Is Real. Caduceus symbol on trading floor with rising stock charts, highlighting healthcare stocks and market momentum.
<ul><li>After years of trailing the S&amp;P 500, health care has rebounded, leading all… [+5077 chars]",0.944,positive,0.944,1.58,1.496,https://www.marketbeat.com/originals/this-etf-is-proof-that-the-healthcare-rebound-is-real/?utm_source=yahoofinance&amp;utm_medium=yahoofinance,2026-01-13 10:53:00,2026-01-13
eedf04a69787e65a,TSLA,Tesla,2026-01-10 14:13,Yahoo Entertainment,newsapi,"If You Invested $500 or More in Tesla Stock at the Beginning of 2025, Here’s How Much You’d Have Now","If You Invested $500 or More in Tesla Stock at the Beginning of 2025, Here’s How Much You’d Have Now. Tesla (TSLA) shareholders had a wild ride in 2025, filled with extreme highs and lows for both its stock and its CEO, Elon Musk. After the dust settled, however, you still did very well if you inves...",0.0,neutral,0.727,1.3,0.0,https://finance.yahoo.com/news/invested-500-more-tesla-stock-141305155.html,2026-01-13 10:53:01,2026-01-13
73268fa0367862a9,TSLA,Tesla,2026-01-10 08:18,Yahoo Entertainment,newsapi,Why Evercore Expects Tesla (TSLA) Shares to Trade Sideways in the Near Term,"Why Evercore Expects Tesla (TSLA) Shares to Trade Sideways in the Near Term. If you click 'Accept all', we and our partners, including 245 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]",0.0,neutral,0.937,1.08,0.0,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_02295df3-34f5-4a4d-9816-b6116cb384b1,2026-01-13 10:53:01,2026-01-13
